idx,nbest_size,top1_entity_recall,oracle_entity_recall,top1_hotword_only_cer,oracle_hotword_only_cer,top1_cer,oracle_cer,oracle_rank,oracle_beats_top1,top1_hit_rate,oracle_hit_rate
0,8.0,1.0,1.0,0.0,0.0,0.08333333333333333,0.08333333333333333,1.0,0.0,,
1,9.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,
3,5.0,0.0,1.0,0.0,0.5,0.0,0.05,2.0,1.0,,
4,16.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,
5,6.0,1.0,1.0,0.0,0.0,0.043478260869565216,0.0,6.0,0.0,,
6,4.0,0.0,0.0,0.5,0.5,0.07692307692307693,0.07692307692307693,1.0,0.0,,
7,6.0,1.0,1.0,0.0,0.0,0.14285714285714285,0.0,4.0,0.0,,
8,10.0,1.0,1.0,0.0,0.0,0.08333333333333333,0.08333333333333333,1.0,0.0,,
9,8.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,
10,10.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,
11,9.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,
12,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,
13,6.0,1.0,1.0,0.0,0.0,0.05263157894736842,0.05263157894736842,1.0,0.0,,
14,6.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,
15,4.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,
16,3.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.2222222222222222,0.1111111111111111,2.0,1.0,,
17,9.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,
18,14.0,1.0,1.0,0.0,0.0,0.13333333333333333,0.13333333333333333,1.0,0.0,,
19,9.0,0.0,0.0,0.5,0.5,0.07142857142857142,0.07142857142857142,1.0,0.0,,
20,5.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,
21,10.0,1.0,1.0,0.0,0.0,0.2222222222222222,0.1111111111111111,2.0,0.0,,
22,6.0,1.0,1.0,0.0,0.0,0.08333333333333333,0.0,2.0,0.0,,
23,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,
24,19.0,0.0,0.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.2857142857142857,2.0,0.0,,
