idx,nbest_size,top1_entity_recall,oracle_entity_recall,top1_hotword_only_cer,oracle_hotword_only_cer,top1_cer,oracle_cer,oracle_rank,oracle_beats_top1,top1_hit_rate,oracle_hit_rate
0,10.0,0.0,0.0,1.0,1.0,3.9583333333333335,3.625,6.0,0.0,,
1,11.0,0.0,0.0,1.0,1.0,5.444444444444445,4.333333333333333,11.0,0.0,,
2,14.0,0.0,0.0,1.0,1.0,3.625,3.1875,2.0,0.0,,
3,15.0,0.0,0.0,1.0,1.0,2.4,1.6,15.0,0.0,,
4,15.0,0.0,0.0,1.0,1.0,3.7222222222222223,3.5,5.0,0.0,,
5,13.0,0.0,0.0,1.0,1.0,2.5652173913043477,2.260869565217391,11.0,0.0,,
6,10.0,0.0,0.0,1.0,1.0,14.615384615384615,14.615384615384615,1.0,0.0,,
7,15.0,0.0,0.0,1.0,1.0,3.5,2.142857142857143,13.0,0.0,,
8,15.0,0.0,0.0,1.0,1.0,4.5,3.25,15.0,0.0,,
9,4.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,
10,13.0,0.0,0.0,1.0,1.0,4.0,3.5833333333333335,10.0,0.0,,
11,8.0,0.0,0.0,1.0,1.0,4.083333333333333,4.083333333333333,1.0,0.0,,
12,11.0,0.0,0.0,1.0,1.0,4.136363636363637,3.727272727272727,7.0,0.0,,
13,16.0,0.0,0.0,1.0,1.0,8.105263157894736,7.473684210526316,14.0,0.0,,
14,11.0,0.0,0.0,1.0,1.0,3.0,2.5789473684210527,10.0,0.0,,
15,12.0,0.0,0.0,1.0,1.0,3.263157894736842,2.5789473684210527,9.0,0.0,,
16,16.0,0.0,0.0,1.0,1.0,7.0,5.666666666666667,13.0,0.0,,
17,4.0,0.0,0.0,1.0,1.0,3.5,3.5,1.0,0.0,,
18,14.0,0.0,0.0,1.0,1.0,5.466666666666667,4.666666666666667,14.0,0.0,,
19,13.0,0.0,0.0,1.0,1.0,3.2142857142857144,2.857142857142857,12.0,0.0,,
20,11.0,0.0,0.0,1.0,1.0,2.9,2.65,7.0,0.0,,
21,16.0,0.0,0.0,1.0,1.0,3.4444444444444446,2.9444444444444446,16.0,0.0,,
22,5.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.16666666666666666,1.0,0.0,,
23,10.0,0.0,0.0,1.0,1.0,2.5454545454545454,2.3636363636363638,9.0,0.0,,
24,10.0,0.0,0.0,1.0,1.0,0.7619047619047619,0.7142857142857143,3.0,0.0,,
25,16.0,0.0,0.0,1.0,1.0,3.8666666666666667,3.1333333333333333,11.0,0.0,,
26,3.0,0.0,0.0,1.0,1.0,3.1739130434782608,3.130434782608696,2.0,0.0,,
27,14.0,0.0,0.0,1.0,1.0,3.8333333333333335,3.3333333333333335,12.0,0.0,,
28,16.0,0.0,0.0,1.0,1.0,4.0,2.7777777777777777,11.0,0.0,,
29,8.0,0.0,0.0,1.0,1.0,3.5294117647058822,3.2941176470588234,8.0,0.0,,
30,14.0,0.0,0.0,1.0,1.0,3.0833333333333335,3.0,7.0,0.0,,
31,16.0,0.0,0.0,1.0,1.0,3.933333333333333,3.4,11.0,0.0,,
32,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,
33,4.0,0.0,0.0,1.0,1.0,0.15,0.1,3.0,0.0,,
34,13.0,0.0,0.0,1.0,1.0,2.875,1.875,12.0,0.0,,
35,16.0,0.0,0.0,1.0,1.0,3.9285714285714284,3.7142857142857144,9.0,0.0,,
36,8.0,0.0,0.0,1.0,1.0,3.4545454545454546,3.1818181818181817,7.0,0.0,,
37,11.0,0.0,0.0,1.0,1.0,3.7333333333333334,3.1333333333333333,3.0,0.0,,
38,8.0,0.0,0.0,1.0,1.0,5.916666666666667,4.5,8.0,0.0,,
39,6.0,0.0,1.0,0.2,0.0,0.047619047619047616,0.0,3.0,1.0,,
40,14.0,0.0,0.0,1.0,1.0,5.25,4.666666666666667,13.0,0.0,,
41,16.0,0.0,0.0,1.0,1.0,4.2,3.9,5.0,0.0,,
42,7.0,0.0,0.0,1.0,1.0,2.7777777777777777,2.2777777777777777,6.0,0.0,,
43,12.0,0.0,0.0,1.0,1.0,3.4705882352941178,3.1176470588235294,6.0,0.0,,
44,11.0,0.0,0.0,1.0,1.0,2.7777777777777777,2.5555555555555554,3.0,0.0,,
45,10.0,0.0,0.0,1.0,1.0,3.5833333333333335,3.0833333333333335,7.0,0.0,,
46,6.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.125,0.125,1.0,0.0,,
47,7.0,0.0,0.0,0.5,0.3333333333333333,0.5416666666666666,0.5,2.0,1.0,,
48,16.0,0.0,0.0,1.0,1.0,35.3,25.9,13.0,0.0,,
49,13.0,0.0,0.0,1.0,1.0,4.35,3.25,12.0,0.0,,
50,14.0,0.0,0.0,1.0,1.0,2.347826086956522,1.9565217391304348,2.0,0.0,,
51,4.0,0.0,0.0,0.5,0.5,0.09090909090909091,0.09090909090909091,1.0,0.0,,
52,16.0,0.0,0.0,1.0,1.0,3.25,2.1666666666666665,15.0,0.0,,
53,9.0,0.0,0.0,1.0,1.0,4.454545454545454,3.909090909090909,9.0,0.0,,
54,16.0,0.0,0.0,1.0,1.0,2.0476190476190474,1.9047619047619047,12.0,0.0,,
55,3.0,0.0,0.0,1.0,1.0,3.1818181818181817,3.1818181818181817,1.0,0.0,,
56,13.0,0.0,0.0,1.0,1.0,3.8823529411764706,2.411764705882353,13.0,0.0,,
57,10.0,0.0,0.0,1.0,1.0,1.9375,1.9375,1.0,0.0,,
58,6.0,0.5,0.5,0.4,0.4,0.15384615384615385,0.15384615384615385,1.0,0.0,,
59,10.0,0.0,0.0,1.0,1.0,3.782608695652174,3.347826086956522,10.0,0.0,,
