idx,nbest_size,top1_entity_recall,oracle_entity_recall,top1_hotword_only_cer,oracle_hotword_only_cer,top1_cer,oracle_cer,oracle_rank,oracle_beats_top1,top1_hit_rate,oracle_hit_rate
0,9.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.08333333333333333,0.08333333333333333,1.0,0.0,,
1,8.0,0.0,1.0,0.3333333333333333,0.0,0.05555555555555555,0.0,2.0,1.0,,
2,5.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,
3,10.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,
4,9.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,
5,6.0,0.0,0.0,0.125,0.125,0.08695652173913043,0.08695652173913043,1.0,0.0,,
6,6.0,0.0,0.0,0.5,0.5,0.07692307692307693,0.07692307692307693,1.0,0.0,,
7,13.0,1.0,1.0,0.0,0.0,0.07142857142857142,0.0,8.0,0.0,,
8,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,
9,5.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,
10,13.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.16666666666666666,0.08333333333333333,4.0,1.0,,
11,13.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.16666666666666666,0.08333333333333333,5.0,1.0,,
12,7.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,
13,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,
14,9.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,
15,4.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,
16,5.0,0.0,0.0,0.6666666666666666,0.6666666666666666,0.2222222222222222,0.2222222222222222,1.0,0.0,,
17,7.0,0.0,0.0,0.6,0.2,0.2,0.1,4.0,1.0,,
18,15.0,0.0,0.0,0.6,0.6,0.3333333333333333,0.13333333333333333,11.0,0.0,,
19,7.0,0.0,0.0,0.5,0.5,0.07142857142857142,0.07142857142857142,1.0,0.0,,
20,9.0,0.0,0.0,0.6,0.4,0.1,0.05,2.0,1.0,,
21,16.0,0.0,1.0,0.25,0.0,0.1111111111111111,0.05555555555555555,5.0,1.0,,
22,10.0,0.0,1.0,0.3333333333333333,0.0,0.16666666666666666,0.0,7.0,1.0,,
23,6.0,0.0,1.0,0.5,0.0,0.09090909090909091,0.045454545454545456,6.0,1.0,,
24,12.0,0.0,0.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.2857142857142857,4.0,0.0,,
25,10.0,0.0,0.5,0.3333333333333333,0.2222222222222222,0.2,0.13333333333333333,2.0,1.0,,
26,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,
27,6.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,
28,8.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,
29,6.0,1.0,1.0,0.0,0.0,0.17647058823529413,0.11764705882352941,5.0,0.0,,
30,7.0,0.0,1.0,1.0,0.0,0.16666666666666666,0.0,3.0,1.0,,
31,8.0,0.0,1.0,1.0,0.0,0.13333333333333333,0.0,2.0,1.0,,
32,8.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,
33,10.0,0.0,0.0,1.0,1.0,0.15,0.1,2.0,0.0,,
34,9.0,0.0,0.0,1.0,0.5,0.125,0.0625,4.0,1.0,,
35,6.0,0.0,1.0,1.0,0.0,0.14285714285714285,0.0,3.0,1.0,,
36,4.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,
37,8.0,0.0,0.0,0.4,0.4,0.2,0.2,1.0,0.0,,
38,6.0,0.5,1.0,0.125,0.0,0.08333333333333333,0.0,5.0,1.0,,
39,9.0,0.0,1.0,0.2,0.0,0.047619047619047616,0.0,2.0,1.0,,
40,10.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,
41,7.0,0.0,1.0,0.6666666666666666,0.0,0.2,0.1,6.0,1.0,,
42,6.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,
43,6.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,
44,5.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.1111111111111111,0.05555555555555555,2.0,1.0,,
45,4.0,1.0,1.0,0.0,0.0,0.08333333333333333,0.0,2.0,0.0,,
46,13.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.25,0.1875,4.0,0.0,,
47,10.0,0.0,0.0,0.5,0.3333333333333333,0.5833333333333334,0.5416666666666666,2.0,1.0,,
48,10.0,0.0,0.0,0.5,0.5,0.1,0.1,1.0,0.0,,
49,7.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,
50,6.0,0.0,0.0,1.0,1.0,0.13043478260869565,0.08695652173913043,2.0,0.0,,
51,11.0,0.0,0.0,0.5,0.5,0.09090909090909091,0.09090909090909091,1.0,0.0,,
52,10.0,0.0,0.0,0.6666666666666666,0.6666666666666666,0.125,0.08333333333333333,2.0,0.0,,
53,5.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,
54,7.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,
55,7.0,0.0,0.0,0.6,0.6,0.18181818181818182,0.18181818181818182,1.0,0.0,,
56,9.0,0.0,1.0,0.6666666666666666,0.0,0.23529411764705882,0.11764705882352941,2.0,1.0,,
57,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,
