idx,nbest_size,top1_entity_recall,oracle_entity_recall,top1_hotword_only_cer,oracle_hotword_only_cer,top1_cer,oracle_cer,oracle_rank,oracle_beats_top1,top1_hit_rate,oracle_hit_rate
0,4.0,1.0,1.0,0.0,0.0,0.08333333333333333,0.08333333333333333,1.0,0.0,,
1,4.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,
2,5.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,
3,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,
4,10.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,
5,12.0,0.0,0.0,0.5,0.375,0.21739130434782608,0.13043478260869565,9.0,1.0,,
6,5.0,0.0,0.0,0.5,0.5,0.07692307692307693,0.07692307692307693,1.0,0.0,,
7,7.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,
8,4.0,1.0,1.0,0.0,0.0,0.08333333333333333,0.0,2.0,0.0,,
9,7.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,
10,7.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,
11,6.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,
12,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,
13,2.0,0.0,0.0,1.0,1.0,0.21052631578947367,0.15789473684210525,2.0,0.0,,
14,5.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,
15,5.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,
16,4.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.2222222222222222,0.1111111111111111,4.0,1.0,,
17,8.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,
18,10.0,1.0,1.0,0.0,0.0,0.13333333333333333,0.13333333333333333,1.0,0.0,,
19,11.0,0.0,0.0,0.5,0.5,0.07142857142857142,0.07142857142857142,1.0,0.0,,
20,7.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,
21,6.0,1.0,1.0,0.0,0.0,0.05555555555555555,0.05555555555555555,1.0,0.0,,
22,6.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,
23,3.0,1.0,1.0,1.0,1.0,0.09090909090909091,0.045454545454545456,2.0,0.0,,
24,13.0,0.0,0.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.2857142857142857,2.0,0.0,,
25,11.0,0.5,0.5,0.2222222222222222,0.2222222222222222,0.26666666666666666,0.26666666666666666,1.0,0.0,,
26,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,
27,5.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,
28,8.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,
29,6.0,1.0,1.0,0.0,0.0,0.058823529411764705,0.0,2.0,0.0,,
30,11.0,1.0,1.0,0.0,0.0,0.08333333333333333,0.08333333333333333,1.0,0.0,,
31,7.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,
32,9.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,
33,7.0,1.0,1.0,0.0,0.0,0.05,0.05,1.0,0.0,,
34,10.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,
35,7.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,
36,7.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,
37,4.0,1.0,1.0,0.0,0.0,0.06666666666666667,0.0,2.0,0.0,,
38,4.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,
39,6.0,1.0,1.0,0.0,0.0,0.047619047619047616,0.0,2.0,0.0,,
40,9.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,
41,4.0,1.0,1.0,0.0,0.0,0.3,0.3,1.0,0.0,,
43,6.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,
44,9.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,
45,2.0,1.0,1.0,0.0,0.0,0.08333333333333333,0.0,2.0,0.0,,
46,7.0,1.0,1.0,0.0,0.0,0.0625,0.0,2.0,0.0,,
47,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,
48,7.0,1.0,1.0,0.0,0.0,0.2,0.2,1.0,0.0,,
49,5.0,1.0,1.0,0.0,0.0,0.1,0.1,1.0,0.0,,
50,8.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,
51,10.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,
52,2.0,1.0,1.0,0.0,0.0,0.041666666666666664,0.041666666666666664,1.0,0.0,,
53,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,
54,4.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,
55,8.0,1.0,1.0,0.0,0.0,0.2727272727272727,0.22727272727272727,2.0,0.0,,
56,8.0,1.0,1.0,0.0,0.0,0.11764705882352941,0.11764705882352941,1.0,0.0,,
57,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,
58,7.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,
59,7.0,1.0,1.0,0.0,0.0,0.043478260869565216,0.043478260869565216,1.0,0.0,,
60,9.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,
61,2.0,1.0,1.0,0.0,0.0,0.0625,0.0,2.0,0.0,,
62,9.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,
63,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,
64,6.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,
65,4.0,1.0,1.0,0.0,0.0,0.13333333333333333,0.13333333333333333,1.0,0.0,,
66,5.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,
67,8.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,
68,5.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,
69,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,
70,8.0,0.5,0.5,0.2,0.2,0.06666666666666667,0.06666666666666667,1.0,0.0,,
71,6.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,
72,6.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,
73,9.0,1.0,1.0,0.0,0.0,0.2,0.2,1.0,0.0,,
74,4.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,
75,4.0,0.5,1.0,0.2,0.0,0.047619047619047616,0.09523809523809523,2.0,1.0,,
77,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,
78,8.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,
79,4.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,
80,5.0,1.0,1.0,0.0,0.0,0.07692307692307693,0.0,4.0,0.0,,
81,5.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,
82,9.0,0.0,1.0,1.0,0.0,0.2,0.0,8.0,1.0,,
83,4.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,
84,6.0,1.0,1.0,0.0,0.0,0.16666666666666666,0.0,2.0,0.0,,
85,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,
86,13.0,1.0,1.0,0.0,0.0,0.09090909090909091,0.09090909090909091,1.0,0.0,,
87,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,
88,8.0,0.0,0.0,1.0,0.5,0.2222222222222222,0.1111111111111111,3.0,1.0,,
89,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,
90,6.0,0.0,0.0,1.0,0.5,0.18181818181818182,0.09090909090909091,3.0,1.0,,
91,11.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,
92,8.0,1.0,1.0,0.0,0.0,0.2222222222222222,0.2222222222222222,1.0,0.0,,
93,8.0,1.0,1.0,0.0,0.0,0.058823529411764705,0.058823529411764705,1.0,0.0,,
94,5.0,1.0,1.0,0.0,0.0,0.1111111111111111,0.1111111111111111,1.0,0.0,,
95,7.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,
96,7.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,
97,7.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,
98,5.0,1.0,1.0,0.0,0.0,0.07692307692307693,0.0,2.0,0.0,,
99,10.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.13333333333333333,0.13333333333333333,1.0,0.0,,
100,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,
101,5.0,0.0,0.0,0.8571428571428571,0.2857142857142857,0.2,0.06666666666666667,5.0,1.0,,
102,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,
103,7.0,0.5,0.5,0.3333333333333333,0.3333333333333333,0.19047619047619047,0.19047619047619047,1.0,0.0,,
104,11.0,0.0,0.0,0.8571428571428571,0.2857142857142857,0.22727272727272727,0.045454545454545456,7.0,1.0,,
105,5.0,0.0,0.0,0.4,0.4,0.16666666666666666,0.16666666666666666,1.0,0.0,,
106,15.0,1.0,1.0,0.0,0.0,0.1,0.1,1.0,0.0,,
107,6.0,0.5,0.5,0.16666666666666666,0.16666666666666666,0.047619047619047616,0.047619047619047616,1.0,0.0,,
108,6.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,
109,8.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.125,0.0625,2.0,1.0,,
110,13.0,0.5,0.5,0.2,0.2,0.07142857142857142,0.07142857142857142,1.0,0.0,,
111,9.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,
112,8.0,0.0,1.0,0.3333333333333333,0.0,0.17647058823529413,0.058823529411764705,4.0,1.0,,
113,7.0,0.0,1.0,0.3333333333333333,0.0,0.17647058823529413,0.11764705882352941,4.0,1.0,,
114,9.0,0.0,1.0,0.3333333333333333,0.0,0.21428571428571427,0.07142857142857142,2.0,1.0,,
115,12.0,0.0,1.0,0.3333333333333333,0.0,0.14285714285714285,0.047619047619047616,3.0,1.0,,
116,6.0,0.0,1.0,0.3333333333333333,0.0,0.09523809523809523,0.047619047619047616,2.0,1.0,,
117,16.0,0.0,1.0,0.3333333333333333,0.0,0.16666666666666666,0.08333333333333333,6.0,1.0,,
118,6.0,0.0,1.0,0.3333333333333333,0.0,0.1,0.05,4.0,1.0,,
119,6.0,0.0,0.0,0.5,0.5,0.14285714285714285,0.14285714285714285,1.0,0.0,,
120,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,
121,6.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,
122,12.0,1.0,1.0,0.0,0.0,0.35,0.35,1.0,0.0,,
123,14.0,1.0,1.0,0.0,0.0,0.05,0.05,1.0,0.0,,
124,6.0,1.0,1.0,0.0,0.0,0.05263157894736842,0.0,3.0,0.0,,
125,4.0,1.0,1.0,0.0,0.0,0.17647058823529413,0.0,3.0,0.0,,
126,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,
127,5.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,
128,11.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,
129,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,
130,4.0,1.0,1.0,0.0,0.0,0.05263157894736842,0.05263157894736842,1.0,0.0,,
131,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,
132,11.0,1.0,1.0,0.0,0.0,0.10526315789473684,0.10526315789473684,1.0,0.0,,
133,7.0,1.0,1.0,0.0,0.0,0.2,0.2,1.0,0.0,,
134,8.0,1.0,1.0,0.0,0.0,0.16666666666666666,0.16666666666666666,1.0,0.0,,
135,8.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,
136,10.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,
137,7.0,1.0,1.0,0.0,0.0,0.05,0.0,2.0,0.0,,
138,6.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,
140,11.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,
141,14.0,0.5,0.5,0.16666666666666666,0.16666666666666666,0.18181818181818182,0.18181818181818182,1.0,0.0,,
142,6.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,
143,12.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.2222222222222222,0.1111111111111111,5.0,1.0,,
144,5.0,1.0,1.0,0.0,0.0,0.10526315789473684,0.0,3.0,0.0,,
145,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,
146,5.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,
147,7.0,0.0,1.0,0.3333333333333333,0.0,0.09090909090909091,0.09090909090909091,2.0,1.0,,
148,12.0,1.0,1.0,0.0,0.0,0.14285714285714285,0.14285714285714285,1.0,0.0,,
149,8.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.1,0.1,1.0,0.0,,
150,6.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,
151,11.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,
152,3.0,1.0,1.0,0.0,0.0,0.125,0.0625,2.0,0.0,,
153,10.0,1.0,1.0,0.0,0.0,0.2,0.0,7.0,0.0,,
154,9.0,1.0,1.0,0.0,0.0,0.1,0.0,7.0,0.0,,
156,4.0,1.0,1.0,0.0,0.0,0.058823529411764705,0.0,3.0,0.0,,
157,4.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,
158,10.0,0.5,0.5,0.4,0.4,0.058823529411764705,0.058823529411764705,1.0,0.0,,
159,12.0,0.0,0.0,1.0,0.6666666666666666,0.3333333333333333,0.25,7.0,1.0,,
160,5.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.1875,0.125,3.0,1.0,,
161,12.0,1.0,1.0,0.0,0.0,0.23076923076923078,0.23076923076923078,1.0,0.0,,
162,5.0,1.0,1.0,0.0,0.0,0.07692307692307693,0.07692307692307693,1.0,0.0,,
163,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,
164,6.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,
165,3.0,1.0,1.0,0.0,0.0,0.1,0.1,1.0,0.0,,
166,3.0,1.0,1.0,0.0,0.0,0.045454545454545456,0.045454545454545456,1.0,0.0,,
167,5.0,1.0,1.0,0.0,0.0,0.13333333333333333,0.0,4.0,0.0,,
168,11.0,1.0,1.0,0.0,0.0,0.058823529411764705,0.0,3.0,0.0,,
169,4.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,
170,5.0,1.0,1.0,0.0,0.0,0.2,0.0,3.0,0.0,,
171,14.0,1.0,1.0,0.0,0.0,0.14285714285714285,0.14285714285714285,1.0,0.0,,
172,6.0,1.0,1.0,0.0,0.0,0.05,0.05,1.0,0.0,,
173,7.0,0.0,0.0,0.2,0.2,0.21052631578947367,0.10526315789473684,2.0,0.0,,
174,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,
175,7.0,1.0,1.0,0.0,0.0,0.1,0.1,1.0,0.0,,
176,6.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,
177,2.0,1.0,1.0,0.5,0.5,0.23529411764705882,0.23529411764705882,1.0,0.0,,
